,Country Name,Country Code,Time,Researchers (FTE) - Female,Researchers (FTE) - % Female,Researchers (FTE) - All,Researchers (FTE) - Male,Researchers (FTE) - % Male,Researchers (HC) - Female,Researchers (HC) - % Female,Researchers (HC) - All,Researchers (HC) - Male,Researchers (HC) - % Male,R&D,Articles
0,Denmark,DNK,2013.0,13159.0,32.63973,40315.89722096353,27156.897220963532,67.36027,19903.6,34.52238,57654.19417780582,37750.59417780582,65.47762,3.0849399566650404,12482.4
1,Germany,DEU,2013.0,80352.785,22.66885,354463.43771298503,274110.65271298506,77.33115000000001,153516.805,27.948559999999997,549283.4156750832,395766.6106750832,72.05144,2.82646989822388,101073.9
2,France,FRA,2013.0,69417.7,26.075120000000002,266221.97711841785,196804.27711841784,73.92488,93255.9,25.45898,366298.64982807636,273042.74982807634,74.54102,2.24326992034912,72554.5
3,Netherlands,NLD,2013.0,19576.131,25.53284,76670.40172577747,57094.27072577747,74.46716,26095.982000000004,23.60872,110535.35303904659,84439.37103904659,76.39128,1.95793998241425,30412.4
4,Finland,FIN,2013.0,,,,,,17861.0,31.48977,56720.00779935833,38859.00779935833,68.51023,3.29682993888855,10156.7
5,Norway,NOR,2013.0,,,,,,17659.0,36.947379999999995,47794.99926652445,30135.99926652445,63.052620000000005,1.65367996692657,9853.6
6,United Kingdom,GBR,2013.0,,,,,,177801.0,38.09837,466689.2573094334,288888.2573094334,61.90163,1.66431999206543,97332.2
